workout name,workout settings,date,weight kg,sets,reps
lateral raise,5,2025-09-19,27,2,10
triceps extension,6,2025-09-19,41,2,10
chin asist,,2025-09-19,1000/45,2,10
leg press,3,2025-09-19,52,2,10
lat pulldown,,2025-09-19,36,2,10
conv shoulder press,6,2025-09-19,16,2,10
chest press,6,2025-09-23,34,2,10
seated row,"s 5, c 6",2025-09-23,39,2,10
seated dip,6,2025-09-23,45,2,10
div lat pulldown,,2025-09-23,36,2,10
shoulder press,6,2025-09-23,23,2,10
pec fly,5,2025-09-23,59,2,10
rear delt,2,2025-09-23,39,2,10
arm curl,5,2025-09-23,19,2,10
dumbell,,2025-09-23,12,2,10
conv chest press,6,2025-09-23,34,2,10
lateral raise,5,2025-09-23,27,2,10
triceps extension,6,2025-09-23,41,2,10
chin asist,,2025-09-23,1000/45,2,10
leg press,3,2025-09-23,52,2,10
lat pulldown,,2025-09-23,36,2,10
conv shoulder press,6,2025-09-23,16,2,10
chest press,6,2025-09-26,34,2,10
seated row,"s 5, c 6",2025-09-26,39,2,10
seated dip,6,2025-09-26,45,2,10
div lat pulldown,,2025-09-26,36,2,10
shoulder press,6,2025-09-26,23,2,10
pec fly,5,2025-09-26,59,2,10
rear delt,2,2025-09-26,39,2,10
arm curl,5,2025-09-26,19,2,10
dumbell,,2025-09-26,12,2,10
conv chest press,6,2025-09-26,34,2,10
lateral raise,5,2025-09-26,27,2,10
triceps extension,6,2025-09-26,41,2,10
chin asist,,2025-09-26,1000/45,2,10
leg press,3,2025-09-26,52,2,10
lat pulldown,,2025-09-26,36,2,10
conv shoulder press,6,2025-09-26,16,2,10
chest press,6,2025-09-30,34,2,10
seated row,"s 5, c 6",2025-09-30,39,2,10
seated dip,6,2025-09-30,45,2,10
div lat pulldown,,2025-09-30,36,2,10
shoulder press,6,2025-09-30,23,2,10
pec fly,5,2025-09-30,59,2,10
rear delt,2,2025-09-30,39,2,10
arm curl,5,2025-09-30,19,2,10
dumbell,,2025-09-30,12,2,10
conv chest press,6,2025-09-30,34,2,10
lateral raise,5,2025-09-30,27,2,10
triceps extension,6,2025-09-30,41,2,10
chin asist,,2025-09-30,1000/43,2,10
leg press,3,2025-09-30,52,2,10
lat pulldown,,2025-09-30,36,2,10
conv shoulder press,6,2025-09-30,16,2,10
chest press,6,2025-10-03,34,2,10
seated row,"s 5, c 6",2025-10-03,39,2,10
seated dip,6,2025-10-03,45,2,10
div lat pulldown,,2025-10-03,36,2,10
shoulder press,6,2025-10-03,23,2,10
pec fly,5,2025-10-03,59,2,10
rear delt,2,2025-10-03,39,2,10
arm curl,5,2025-10-03,20,2,10
dumbell,,2025-10-03,12,2,10
conv chest press,6,2025-10-03,34,2,10
lateral raise,5,2025-10-03,27,2,10
triceps extension,6,2025-10-03,41,2,10
chin asist,,2025-10-03,1000/43,2,10
leg press,3,2025-10-03,52,2,10
lat pulldown,,2025-10-03,36,2,10
conv shoulder press,6,2025-10-03,16,2,10
chest press,6,2025-10-05,36,2,10
seated row,"s 5, c 6",2025-10-05,41,2,10
seated dip,6,2025-10-05,45,2,10
div lat pulldown,,2025-10-05,38,2,10
shoulder press,6,2025-10-05,25,2,10
pec fly,5,2025-10-05,66,2,10
rear delt,2,2025-10-05,39,2,10
arm curl,5,2025-10-05,21,2,10
dumbell,,2025-10-05,12,2,10
conv chest press,6,2025-10-05,36,2,10
lateral raise,5,2025-10-05,27,2,10
triceps extension,6,2025-10-05,41,2,10
chin asist,,2025-10-05,1000/43,2,10
leg press,3,2025-10-05,52,2,10
lat pulldown,,2025-10-05,39,2,10
conv shoulder press,6,2025-10-05,18,2,10
chest press,6,2025-10-07,38,2,10
seated row,"s 5, c 6",2025-10-07,43,2,10
seated dip,6,2025-10-07,47,2,10
div lat pulldown,,2025-10-07,38,2,10
shoulder press,6,2025-10-07,25,2,10
pec fly,5,2025-10-07,66,2,10
rear delt,2,2025-10-07,39,2,10
arm curl,5,2025-10-07,21,2,10
dumbell,,2025-10-07,12,2,10
conv chest press,6,2025-10-07,38,2,10
lateral raise,5,2025-10-07,27,2,10
triceps extension,6,2025-10-07,41,2,10
chin asist,,2025-10-07,1000/43,2,10
leg press,3,2025-10-07,52,2,10
lat pulldown,,2025-10-07,39,2,10
conv shoulder press,6,2025-10-07,18,2,10
chest press,6,2025-10-09,38,2,10
seated row,"s 5, c 6",2025-10-09,43,2,10
seated dip,6,2025-10-09,47,2,10
div lat pulldown,,2025-10-09,38,2,10
shoulder press,6,2025-10-09,25,2,10
pec fly,5,2025-10-09,66,2,10
rear delt,2,2025-10-09,39,2,10
arm curl,5,2025-10-09,21,2,10
dumbell,,2025-10-09,12,2,10
conv chest press,6,2025-10-09,38,2,10
lateral raise,5,2025-10-09,27,2,10
triceps extension,6,2025-10-09,41,2,10
chin asist,,2025-10-09,1000/43,2,10
leg press,3,2025-10-09,52,2,10
lat pulldown,,2025-10-09,39,2,10
conv shoulder press,6,2025-10-09,18,2,10
chest press,6,2025-10-11,38,2,10
seated row,"s 5, c 6",2025-10-11,43,2,10
seated dip,6,2025-10-11,47,2,10
div lat pulldown,,2025-10-11,39,2,10
shoulder press,6,2025-10-11,25,2,10
pec fly,5,2025-10-11,66,2,10
rear delt,2,2025-10-11,39,2,10
arm curl,5,2025-10-11,21,2,10
dumbell,,2025-10-11,12,2,10
conv chest press,6,2025-10-11,38,2,10
lateral raise,5,2025-10-11,29,2,10
triceps extension,6,2025-10-11,41,2,10
chin asist,,2025-10-11,1000/43,2,10
leg press,3,2025-10-11,52,2,10
lat pulldown,,2025-10-11,39,2,10
conv shoulder press,6,2025-10-11,18,2,10
chest press,6,2025-10-13,38,2,10
seated row,"s 5, c 6",2025-10-13,43,2,10
seated dip,6,2025-10-13,46,2,10
div lat pulldown,,2025-10-13,38,2,10
shoulder press,6,2025-10-13,25,2,10
pec fly,5,2025-10-13,66,2,10
rear delt,2,2025-10-13,39,2,10
arm curl,5,2025-10-13,21,2,10
dumbell,,2025-10-13,12,2,10
conv chest press,6,2025-10-13,38,2,10
lateral raise,5,2025-10-13,29,2,10
triceps extension,6,2025-10-13,41,2,10
chin asist,,2025-10-13,1000/43,2,10
leg press,3,2025-10-13,52,2,10
lat pulldown,,2025-10-13,39,2,10
conv shoulder press,6,2025-10-13,18,2,10
chest press,6,2025-10-15,39,2,10
seated row,"s 5, c 6",2025-10-15,44,2,10
seated dip,6,2025-10-15,46,2,10
div lat pulldown,,2025-10-15,38,2,10
shoulder press,6,2025-10-15,25,2,10
pec fly,5,2025-10-15,70,2,10
rear delt,2,2025-10-15,39,2,10
arm curl,5,2025-10-15,21,2,10
dumbell,,2025-10-15,12,2,10
conv chest press,6,2025-10-15,39,2,10
lateral raise,5,2025-10-15,29,2,10
triceps extension,6,2025-10-15,41,2,10
chin asist,,2025-10-15,1000/43,2,10
leg press,3,2025-10-15,52,2,10
lat pulldown,,2025-10-15,39,2,10
conv shoulder press,6,2025-10-15,18,2,10
chest press,6,2025-10-17,39,2,10
seated row,"s 5, c 6",2025-10-17,43,2,10
seated dip,6,2025-10-17,45,2,10
div lat pulldown,,2025-10-17,38,2,10
shoulder press,6,2025-10-17,25,2,10
pec fly,5,2025-10-17,70,2,10
rear delt,2,2025-10-17,39,2,10
arm curl,5,2025-10-17,21,2,10
dumbell,,2025-10-17,12,2,10
conv chest press,6,2025-10-17,39,2,10
lateral raise,5,2025-10-17,29,2,10
triceps extension,6,2025-10-17,41,2,10
chin asist,,2025-10-17,1000/43,2,10
leg press,3,2025-10-17,52,2,10
lat pulldown,,2025-10-17,39,2,10
conv shoulder press,6,2025-10-17,20,2,10
chest press,6,2025-10-19,39,2,10
seated row,"s 5, c 6",2025-10-19,43,2,10
seated dip,6,2025-10-19,45,2,10
div lat pulldown,,2025-10-19,40,2,10
shoulder press,6,2025-10-19,26,2,10
pec fly,5,2025-10-19,73,2,10
rear delt,2,2025-10-19,39,2,10
arm curl,5,2025-10-19,21,2,10
dumbell,,2025-10-19,12,2,10
conv chest press,6,2025-10-19,39,2,10
lateral raise,5,2025-10-19,30,2,10
triceps extension,6,2025-10-19,41,2,10
chin asist,,2025-10-19,1000/41,2,10
leg press,3,2025-10-19,52,2,10
lat pulldown,,2025-10-19,39,2,10
conv shoulder press,6,2025-10-19,20,2,10
chest press,6,2025-10-21,39,2,10
seated row,"s 5, c 6",2025-10-21,43,2,10
seated dip,6,2025-10-21,46,2,10
div lat pulldown,,2025-10-21,40,2,10
shoulder press,6,2025-10-21,26,2,10
pec fly,5,2025-10-21,73,2,10
rear delt,2,2025-10-21,39,2,10
arm curl,5,2025-10-21,21,2,10
dumbell,,2025-10-21,12,2,10
conv chest press,6,2025-10-21,39,2,10
lateral raise,5,2025-10-21,30,2,10
triceps extension,6,2025-10-21,41,2,10
chin asist,,2025-10-21,1000/38,2,10
leg press,3,2025-10-21,52,2,10
lat pulldown,,2025-10-21,39,2,10
conv shoulder press,6,2025-10-21,20,2,10
chest press,6,2025-11-09,34,2,10
seated row,"s 5, c 6",2025-11-09,36,2,10
seated dip,6,2025-11-09,41,2,10
div lat pulldown,,2025-11-09,36,2,10
shoulder press,6,2025-11-09,23,2,10
pec fly,5,2025-11-09,66,2,10
rear delt,2,2025-11-09,39,2,10
arm curl,5,2025-11-09,18,2,10
dumbell,,2025-11-09,10,2,10
conv chest press,6,2025-11-09,34,2,10
lateral raise,5,2025-11-09,27,2,10
triceps extension,6,2025-11-09,36,2,10
chin asist,,2025-11-09,1000/45,2,10
leg press,3,2025-11-09,39,2,10
lat pulldown,,2025-11-09,35,2,10
conv shoulder press,6,2025-11-09,16,2,10
chest press,6,2025-11-11,34,2,10
seated row,"s 5, c 6",2025-11-11,36,2,10
seated dip,6,2025-11-11,41,2,10
div lat pulldown,,2025-11-11,36,2,10
shoulder press,6,2025-11-11,23,2,10
pec fly,5,2025-11-11,66,2,10
rear delt,2,2025-11-11,39,2,10
arm curl,5,2025-11-11,18,2,10
dumbell,,2025-11-11,10,2,10
conv chest press,6,2025-11-11,34,2,10
lateral raise,5,2025-11-11,27,2,10
triceps extension,6,2025-11-11,36,2,10
chin asist,,2025-11-11,1000/45,2,10
leg press,3,2025-11-11,39,2,10
lat pulldown,,2025-11-11,34,2,10
conv shoulder press,6,2025-11-11,16,2,10
chest press,6,2025-11-13,34,2,10
seated row,"s 5, c 6",2025-11-13,36,2,10
seated dip,6,2025-11-13,41,2,10
div lat pulldown,,2025-11-13,36,2,10
shoulder press,6,2025-11-13,23,2,10
pec fly,5,2025-11-13,66,2,10
rear delt,2,2025-11-13,39,2,10
arm curl,5,2025-11-13,18,2,10
dumbell,,2025-11-13,10,2,10
conv chest press,6,2025-11-13,34,2,10
lateral raise,5,2025-11-13,27,2,10
triceps extension,6,2025-11-13,36,2,10
chin asist,,2025-11-13,1000/45,2,10
leg press,3,2025-11-13,45,2,10
lat pulldown,,2025-11-13,34,2,10
conv shoulder press,6,2025-11-13,16,2,10
chest press,6,2025-11-15,34,2,10
seated row,"s 5, c 6",2025-11-15,36,2,10
seated dip,6,2025-11-15,41,2,10
div lat pulldown,,2025-11-15,36,2,10
shoulder press,6,2025-11-15,23,2,10
pec fly,5,2025-11-15,66,2,10
rear delt,2,2025-11-15,39,2,10
arm curl,5,2025-11-15,18,2,10
dumbell,,2025-11-15,10,2,10
conv chest press,6,2025-11-15,34,2,10
lateral raise,5,2025-11-15,27,2,10
triceps extension,6,2025-11-15,36,2,10
chin asist,,2025-11-15,1000/45,2,10
leg press,3,2025-11-15,45,2,10
lat pulldown,,2025-11-15,34,2,10
conv shoulder press,6,2025-11-15,16,2,10
chest press,6,2025-11-17,34,2,10
seated row,"s 5, c 6",2025-11-17,36,2,10
seated dip,6,2025-11-17,41,2,10
div lat pulldown,,2025-11-17,36,2,10
shoulder press,6,2025-11-17,23,2,10
pec fly,5,2025-11-17,66,2,10
rear delt,2,2025-11-17,39,2,10
arm curl,5,2025-11-17,18,2,10
dumbell,,2025-11-17,10,2,10
conv chest press,6,2025-11-17,34,2,10
lateral raise,5,2025-11-17,27,2,10
triceps extension,6,2025-11-17,36,2,10
chin asist,,2025-11-17,1000/45,2,10
leg press,3,2025-11-17,45,2,10
lat pulldown,,2025-11-17,34,2,10
conv shoulder press,6,2025-11-17,16,2,10
chest press,6,2025-11-20,34,2,10
seated row,"s 5, c 6",2025-11-20,36,2,10
seated dip,6,2025-11-20,41,2,10
div lat pulldown,,2025-11-20,36,2,10
shoulder press,6,2025-11-20,23,2,10
pec fly,5,2025-11-20,66,2,10
rear delt,2,2025-11-20,39,2,10
arm curl,5,2025-11-20,18,2,10
dumbell,,2025-11-20,10,2,10
conv chest press,6,2025-11-20,34,2,10
lateral raise,5,2025-11-20,27,2,10
triceps extension,6,2025-11-20,36,2,10
chin asist,,2025-11-20,1000/45,2,10
leg press,3,2025-11-20,45,2,10
lat pulldown,,2025-11-20,34,2,10
conv shoulder press,6,2025-11-20,16,2,10
chest press,6,2025-11-22,35,2,10
seated row,"s 5, c 6",2025-11-22,37,2,10
seated dip,6,2025-11-22,42,2,10
div lat pulldown,,2025-11-22,37,2,10
shoulder press,6,2025-11-22,24,2,10
pec fly,5,2025-11-22,66,2,10
rear delt,2,2025-11-22,39,2,10
arm curl,5,2025-11-22,19,2,10
dumbell,,2025-11-22,11,2,10
conv chest press,6,2025-11-22,35,2,10
lateral raise,5,2025-11-22,28,2,10
triceps extension,6,2025-11-22,37,2,10
chin asist,,2025-11-22,1000/45,2,10
leg press,3,2025-11-22,45,2,10
lat pulldown,,2025-11-22,35,2,10
conv shoulder press,6,2025-11-22,17,2,10
chest press,6,2025-12-01,34,2,10
seated row,"s 5, c 6",2025-12-01,36,2,10
seated dip,6,2025-12-01,41,2,10
div lat pulldown,,2025-12-01,36,2,10
shoulder press,6,2025-12-01,23,2,10
pec fly,5,2025-12-01,66,2,10
rear delt,2,2025-12-01,39,2,10
arm curl,5,2025-12-01,18,2,10
dumbell,,2025-12-01,10,2,10
conv chest press,6,2025-12-01,34,2,10
lateral raise,5,2025-12-01,27,2,10
triceps extension,6,2025-12-01,36,2,10
chin asist,,2025-12-01,1000/45,2,10
leg press,3,2025-12-01,45,2,10
lat pulldown,,2025-12-01,34,2,10
conv shoulder press,6,2025-12-01,16,2,10
chest press,6,2025-12-03,34,2,10
seated row,"s 5, c 6",2025-12-03,36,2,10
seated dip,6,2025-12-03,41,2,10
div lat pulldown,,2025-12-03,36,2,10
shoulder press,6,2025-12-03,23,2,10
pec fly,5,2025-12-03,66,2,10
rear delt,2,2025-12-03,39,2,10
arm curl,5,2025-12-03,18,2,10
dumbell,,2025-12-03,12,2,10
conv chest press,6,2025-12-03,34,2,10
lateral raise,5,2025-12-03,27,2,10
triceps extension,6,2025-12-03,36,2,10
chin asist,,2025-12-03,1000/45,2,10
leg press,3,2025-12-03,45,2,10
lat pulldown,,2025-12-03,34,2,10
conv shoulder press,6,2025-12-03,16,2,10
chest press,6,2025-12-05,35,2,10
seated row,"s 5, c 6",2025-12-05,37,2,10
seated dip,6,2025-12-05,42,2,10
div lat pulldown,,2025-12-05,37,2,10
shoulder press,6,2025-12-05,24,2,10
pec fly,5,2025-12-05,69,2,10
rear delt,2,2025-12-05,42,2,10
arm curl,5,2025-12-05,19,2,10
dumbell,,2025-12-05,12,2,10
conv chest press,6,2025-12-05,35,2,10
lateral raise,5,2025-12-05,28,2,10
triceps extension,6,2025-12-05,37,2,10
chin asist,,2025-12-05,1000/45,2,10
leg press,3,2025-12-05,45,2,10
lat pulldown,,2025-12-05,35,2,10
conv shoulder press,6,2025-12-05,17,2,10
chest press,6,2025-12-08,35,2,10
seated row,"s 5, c 6",2025-12-08,37,2,10
seated dip,6,2025-12-08,43,2,10
div lat pulldown,,2025-12-08,37,2,10
shoulder press,6,2025-12-08,24,2,10
pec fly,5,2025-12-08,69,2,10
rear delt,2,2025-12-08,42,2,10
arm curl,5,2025-12-08,20,2,10
dumbell,,2025-12-08,12,2,10
conv chest press,6,2025-12-08,35,2,10
lateral raise,5,2025-12-08,29,2,10
triceps extension,6,2025-12-08,38,2,10
chin asist,,2025-12-08,1000/45,2,10
leg press,3,2025-12-08,48,2,10
lat pulldown,,2025-12-08,35,2,10
conv shoulder press,6,2025-12-08,17,2,10
chest press,6,2025-12-10,36,2,10
seated row,"s 5, c 6",2025-12-10,39,2,10
seated dip,6,2025-12-10,43,2,10
div lat pulldown,,2025-12-10,38,2,10
shoulder press,6,2025-12-10,25,2,10
pec fly,5,2025-12-10,69,2,10
rear delt,2,2025-12-10,42,2,10
arm curl,5,2025-12-10,20,2,10
dumbell,,2025-12-10,12,2,10
conv chest press,6,2025-12-10,35,2,10
lateral raise,5,2025-12-10,29,2,10
triceps extension,6,2025-12-10,38,2,10
chin asist,,2025-12-10,1000/45,2,10
leg press,3,2025-12-10,52,2,10
lat pulldown,,2025-12-10,36,2,10
conv shoulder press,6,2025-12-10,18,2,10
chest press,6,2025-12-12,36,2,10
seated row,"s 5, c 6",2025-12-12,39,2,10
seated dip,6,2025-12-12,43,2,10
div lat pulldown,,2025-12-12,38,2,10
shoulder press,6,2025-12-12,25,2,10
pec fly,5,2025-12-12,73,2,10
rear delt,2,2025-12-12,45,2,10
arm curl,5,2025-12-12,20,2,10
dumbell,,2025-12-12,12,2,10
conv chest press,6,2025-12-12,36,2,10
lateral raise,5,2025-12-12,31,2,10
triceps extension,6,2025-12-12,38,2,10
chin asist,,2025-12-12,1000/45,2,10
leg press,3,2025-12-12,52,2,10
lat pulldown,,2025-12-12,37,2,10
conv shoulder press,6,2025-12-12,18,2,10
chest press,6,2025-12-15,36,2,10
seated row,"s 5, c 6",2025-12-15,39,2,10
seated dip,6,2025-12-15,43,2,10
div lat pulldown,,2025-12-15,38,2,10
shoulder press,6,2025-12-15,25,2,10
pec fly,5,2025-12-15,73,2,10
rear delt,2,2025-12-15,45,2,10
arm curl,5,2025-12-15,20,2,10
dumbell,,2025-12-15,12,2,10
conv chest press,6,2025-12-15,36,2,10
lateral raise,5,2025-12-15,31,2,10
triceps extension,6,2025-12-15,38,2,10
chin asist,,2025-12-15,1000/45,2,10
leg press,3,2025-12-15,52,2,10
lat pulldown,,2025-12-15,39,2,10
conv shoulder press,6,2025-12-15,18,2,10
chest press,6,2025-12-17,39,2,10
seated row,"s 5, c 6",2025-12-17,39,2,10
seated dip,6,2025-12-17,45,2,10
div lat pulldown,,2025-12-17,38,2,10
shoulder press,6,2025-12-17,27,2,10
pec fly,5,2025-12-17,73,2,10
rear delt,2,2025-12-17,45,2,10
arm curl,5,2025-12-17,20,2,10
dumbell,,2025-12-17,12,2,10
conv chest press,6,2025-12-17,39,2,10
lateral raise,5,2025-12-17,31,2,10
triceps extension,6,2025-12-17,41,2,10
chin asist,,2025-12-17,1000/45,2,10
leg press,3,2025-12-17,52,2,10
lat pulldown,,2025-12-17,39,2,10
conv shoulder press,6,2025-12-17,18,2,10
chest press,6,2025-12-19,39,2,10
seated row,"s 5, c 6",2025-12-19,39,2,10
seated dip,6,2025-12-19,45,2,10
div lat pulldown,,2025-12-19,38,2,10
shoulder press,6,2025-12-19,27,2,10
pec fly,5,2025-12-19,73,2,10
rear delt,2,2025-12-19,45,2,10
arm curl,5,2025-12-19,20,2,10
dumbell,,2025-12-19,12,2,10
conv chest press,6,2025-12-19,39,2,10
lateral raise,5,2025-12-19,31,2,10
triceps extension,6,2025-12-19,41,2,10
chin asist,,2025-12-19,1000/45,2,10
leg press,3,2025-12-19,52,2,10
lat pulldown,,2025-12-19,39,2,10
conv shoulder press,6,2025-12-19,18,2,10
chest press,6,2025-12-27,39,2,10
seated row,"s 5, c 6",2025-12-27,39,2,10
seated dip,6,2025-12-27,45,2,10
div lat pulldown,,2025-12-27,38,2,10
shoulder press,6,2025-12-27,27,2,10
pec fly,5,2025-12-27,73,2,10
rear delt,2,2025-12-27,45,2,10
arm curl,5,2025-12-27,20,2,10
dumbell,,2025-12-27,12,2,10
conv chest press,6,2025-12-27,39,2,10
lateral raise,5,2025-12-27,31,2,10
triceps extension,6,2025-12-27,41,2,10
chin asist,,2025-12-27,1000/45,2,10
leg press,3,2025-12-27,52,2,10
lat pulldown,,2025-12-27,39,2,10
conv shoulder press,6,2025-12-27,18,2,10
chest press,6,2026-01-09,35,2,10
seated row,"s 5, c 6",2026-01-09,36,2,10
seated dip,6,2026-01-09,38,2,10
div lat pulldown,,2026-01-09,34,2,10
shoulder press,6,2026-01-09,24,2,10
pec fly,5,2026-01-09,66,2,10
rear delt,2,2026-01-09,39,2,10
arm curl,5,2026-01-09,18,2,10
dumbell,,2026-01-09,12,2,10
conv chest press,6,2026-01-09,35,2,10
lateral raise,5,2026-01-09,27,2,10
triceps extension,6,2026-01-09,36,2,10
chin asist,,2026-01-09,1000/47,2,10
leg press,3,2026-01-09,45,2,10
lat pulldown,,2026-01-09,34,2,10
conv shoulder press,6,2026-01-09,16,2,10
chest press,6,2026-01-11,34,2,10
seated row,"s 5, c 6",2026-01-11,36,2,10
seated dip,6,2026-01-11,38,2,10
div lat pulldown,,2026-01-11,34,2,10
shoulder press,6,2026-01-11,23,2,10
pec fly,5,2026-01-11,66,2,10
rear delt,2,2026-01-11,39,2,10
arm curl,5,2026-01-11,18,2,10
dumbell,,2026-01-11,12,2,10
conv chest press,6,2026-01-11,34,2,10
lateral raise,5,2026-01-11,27,2,10
triceps extension,6,2026-01-11,36,2,10
chin asist,,2026-01-11,1000/47,2,10
leg press,3,2026-01-11,45,2,10
lat pulldown,,2026-01-11,34,2,10
conv shoulder press,6,2026-01-11,16,2,10
chest press,6,2026-01-13,34,2,10
seated row,"s 5, c 6",2026-01-13,36,2,10
seated dip,6,2026-01-13,38,2,10
div lat pulldown,,2026-01-13,34,2,10
shoulder press,6,2026-01-13,23,2,10
pec fly,5,2026-01-13,66,2,10
rear delt,2,2026-01-13,39,2,10
arm curl,5,2026-01-13,18,2,10
dumbell,,2026-01-13,12,2,10
conv chest press,6,2026-01-13,34,2,10
lateral raise,5,2026-01-13,27,2,10
triceps extension,6,2026-01-13,36,2,10
chin asist,,2026-01-13,1000/47,2,10
leg press,3,2026-01-13,45,2,10
lat pulldown,,2026-01-13,34,2,10
conv shoulder press,6,2026-01-13,16,2,10
